#time (msec), membrane voltage (mV), stimulus level (nA), m, h, g_Na (uS)
    0.10,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.21,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.31,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.42,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.52,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.63,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.73,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.84,  -62.72,   0.0,    0.069,    0.515, 0.000677
    0.94,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.05,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.15,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.26,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.36,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.47,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.57,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.68,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.78,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.89,  -62.72,   0.0,    0.069,    0.515, 0.000677
    1.99,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.10,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.20,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.31,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.41,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.52,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.62,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.73,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.83,  -62.72,   0.0,    0.069,    0.515, 0.000677
    2.94,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.04,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.15,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.25,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.36,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.46,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.57,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.67,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.77,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.88,  -62.72,   0.0,    0.069,    0.515, 0.000677
    3.98,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.09,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.19,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.30,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.40,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.51,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.61,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.72,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.82,  -62.72,   0.0,    0.069,    0.515, 0.000677
    4.93,  -62.72,   0.0,    0.069,    0.515, 0.000677
    5.03,  -62.72,   0.0,    0.069,    0.515, 0.000677
    5.14,  -62.72,   0.0,    0.069,    0.515, 0.000677
    5.24,  -62.72,   0.0,    0.069,    0.515, 0.000676
    5.35,  -62.72,   0.0,    0.069,    0.515, 0.000676
    5.45,  -61.67,  10.0,    0.069,    0.515, 0.000676
    5.56,  -60.66,  10.0,   0.0733,    0.514, 0.000811
    5.66,  -59.66,  10.0,   0.0799,    0.513,  0.00104
    5.77,  -58.64,  10.0,   0.0878,     0.51,  0.00138
    5.87,  -57.56,  10.0,   0.0969,    0.507,  0.00185
    5.98,  -56.37,  10.0,    0.107,    0.504,   0.0025
    6.08,  -55.01,  10.0,     0.12,    0.499,  0.00343
    6.19,  -53.36,  10.0,    0.135,    0.493,  0.00481
    6.29,  -51.21,  10.0,    0.153,    0.485,  0.00699
    6.40,  -48.16,  10.0,    0.178,    0.476,   0.0108
    6.50,  -44.31,   0.0,    0.215,    0.463,   0.0183
    6.61,  -36.60,   0.0,    0.267,    0.444,   0.0337
    6.66,  -30.88,   0.0,    0.316,    0.429,    0.054
    6.68,  -27.37,   0.0,    0.349,    0.419,    0.071
    6.71,  -22.79,   0.0,    0.386,    0.408,   0.0941
    6.74,  -16.90,   0.0,     0.43,    0.396,    0.126
    6.75,  -13.78,   0.0,    0.456,     0.39,    0.148
    6.76,  -10.27,   0.0,    0.484,    0.383,    0.173
    6.78,   -6.37,   0.0,    0.513,    0.376,    0.203
    6.79,   -2.09,   0.0,    0.545,    0.369,    0.239
    6.80,    2.50,   0.0,    0.577,    0.362,    0.279
    6.82,    7.33,   0.0,    0.612,    0.355,    0.325
    6.83,   12.26,   0.0,    0.646,    0.348,    0.376
    6.84,   17.13,   0.0,    0.681,    0.342,    0.432
    6.86,   21.75,   0.0,    0.716,    0.335,    0.492
    6.87,   25.95,   0.0,    0.749,    0.328,    0.552
    6.88,   29.58,   0.0,     0.78,    0.322,    0.612
    6.89,   32.57,   0.0,    0.809,    0.316,    0.669
    6.92,   37.55,   0.0,     0.86,    0.304,    0.771
    6.95,   39.08,   0.0,    0.899,    0.292,    0.848
    6.97,   38.90,   0.0,    0.928,     0.28,    0.896
    7.00,   37.99,   0.0,    0.948,    0.269,    0.919
    7.03,   36.73,   0.0,    0.963,    0.259,    0.924
    7.05,   35.26,   0.0,    0.973,    0.249,    0.916
    7.08,   33.63,   0.0,     0.98,    0.239,      0.9
    7.10,   31.88,   0.0,    0.985,     0.23,    0.878
    7.13,   30.03,   0.0,    0.988,    0.221,    0.852
    7.16,   28.11,   0.0,     0.99,    0.212,    0.825
    7.18,   26.12,   0.0,    0.992,    0.204,    0.797
    7.21,   24.09,   0.0,    0.993,    0.196,    0.769
    7.24,   22.02,   0.0,    0.994,    0.189,     0.74
    7.26,   19.92,   0.0,    0.994,    0.181,    0.712
    7.29,   17.82,   0.0,    0.994,    0.174,    0.685
    7.31,   15.70,   0.0,    0.994,    0.168,    0.658
    7.34,   13.59,   0.0,    0.993,    0.161,    0.632
    7.37,   11.49,   0.0,    0.993,    0.155,    0.607
    7.39,    9.40,   0.0,    0.992,    0.149,    0.582
    7.42,    7.32,   0.0,    0.991,    0.143,    0.558
    7.44,    5.27,   0.0,     0.99,    0.138,    0.535
    7.47,    3.24,   0.0,    0.989,    0.133,    0.513
    7.50,    1.23,   0.0,    0.987,    0.128,    0.492
    7.52,   -0.75,   0.0,    0.986,    0.123,    0.471
    7.55,   -2.71,   0.0,    0.984,    0.118,    0.451
    7.58,   -4.64,   0.0,    0.981,    0.114,    0.431
    7.60,   -6.54,   0.0,    0.979,     0.11,    0.412
    7.63,   -8.41,   0.0,    0.976,    0.106,    0.394
    7.65,  -10.25,   0.0,    0.972,    0.102,    0.376
    7.68,  -12.07,   0.0,    0.969,   0.0988,    0.359
    7.71,  -13.86,   0.0,    0.964,   0.0954,    0.342
    7.73,  -15.62,   0.0,     0.96,   0.0923,    0.326
    7.76,  -17.36,   0.0,    0.954,   0.0894,    0.311
    7.79,  -19.07,   0.0,    0.948,   0.0866,    0.295
    7.81,  -20.76,   0.0,    0.942,   0.0841,    0.281
    7.84,  -22.43,   0.0,    0.934,   0.0817,    0.267
    7.86,  -24.08,   0.0,    0.926,   0.0795,    0.253
    7.89,  -25.72,   0.0,    0.917,   0.0775,    0.239
    7.92,  -27.35,   0.0,    0.907,   0.0757,    0.226
    7.94,  -28.96,   0.0,    0.896,   0.0741,    0.213
    8.00,  -33.67,   0.0,    0.873,   0.0712,    0.189
    8.05,  -37.13,   0.0,    0.839,   0.0693,    0.164
    8.10,  -40.68,   0.0,    0.799,   0.0681,    0.139
    8.15,  -44.41,   0.0,    0.751,   0.0677,    0.115
    8.21,  -48.37,   0.0,    0.693,    0.068,   0.0908
    8.26,  -52.59,   0.0,    0.625,   0.0692,   0.0676
    8.31,  -56.94,   0.0,    0.545,   0.0711,    0.046
    8.36,  -61.16,   0.0,    0.454,    0.074,   0.0277
    8.41,  -64.84,   0.0,    0.357,   0.0778,   0.0142
    8.52,  -71.52,   0.0,    0.187,   0.0872,  0.00227
    8.62,  -71.60,   0.0,    0.067,    0.101, 0.000121
    8.73,  -71.61,   0.0,    0.035,    0.114, 1.96e-05
    8.83,  -71.58,   0.0,   0.0266,    0.127, 9.61e-06
    8.94,  -71.54,   0.0,   0.0245,     0.14, 8.24e-06
    9.04,  -71.50,   0.0,    0.024,    0.152, 8.47e-06
    9.15,  -71.45,   0.0,    0.024,    0.165, 9.11e-06
    9.25,  -71.41,   0.0,   0.0241,    0.177, 9.88e-06
    9.36,  -71.36,   0.0,   0.0242,    0.188, 1.07e-05
    9.46,  -71.31,   0.0,   0.0244,      0.2, 1.16e-05
    9.57,  -71.25,   0.0,   0.0245,    0.211, 1.24e-05
    9.67,  -71.20,   0.0,   0.0247,    0.222, 1.33e-05
    9.78,  -71.14,   0.0,   0.0248,    0.233, 1.43e-05
    9.88,  -71.08,   0.0,    0.025,    0.243, 1.52e-05
    9.99,  -71.02,   0.0,   0.0252,    0.253, 1.62e-05
   10.09,  -70.95,   0.0,   0.0254,    0.263, 1.73e-05
   10.20,  -70.88,   0.0,   0.0256,    0.273, 1.83e-05
   10.30,  -70.81,   0.0,   0.0258,    0.283, 1.95e-05
   10.41,  -70.74,   0.0,    0.026,    0.292, 2.06e-05
   10.51,  -70.66,   0.0,   0.0263,    0.301, 2.19e-05
   10.62,  -70.59,   0.0,   0.0265,     0.31, 2.31e-05
   10.72,  -70.50,   0.0,   0.0268,    0.319, 2.45e-05
   10.83,  -70.42,   0.0,    0.027,    0.327, 2.59e-05
   10.93,  -70.34,   0.0,   0.0273,    0.335, 2.73e-05
   11.04,  -70.25,   0.0,   0.0276,    0.343, 2.89e-05
   11.14,  -70.16,   0.0,   0.0279,    0.351, 3.05e-05
   11.25,  -70.07,   0.0,   0.0282,    0.359, 3.22e-05
   11.35,  -69.97,   0.0,   0.0285,    0.366,  3.4e-05
   11.46,  -69.88,   0.0,   0.0289,    0.374, 3.59e-05
   11.56,  -69.78,   0.0,   0.0292,    0.381, 3.79e-05
   11.67,  -69.68,   0.0,   0.0295,    0.387,    4e-05
   11.77,  -69.58,   0.0,   0.0299,    0.394, 4.22e-05
   11.88,  -69.47,   0.0,   0.0303,    0.401, 4.45e-05
   11.98,  -69.37,   0.0,   0.0307,    0.407, 4.69e-05
   12.08,  -69.26,   0.0,   0.0311,    0.413, 4.95e-05
   12.19,  -69.15,   0.0,   0.0315,    0.419, 5.22e-05
   12.29,  -69.04,   0.0,   0.0319,    0.425,  5.5e-05
   12.40,  -68.93,   0.0,   0.0323,     0.43,  5.8e-05
   12.50,  -68.82,   0.0,   0.0327,    0.436, 6.12e-05
   12.61,  -68.71,   0.0,   0.0332,    0.441, 6.45e-05
   12.71,  -68.59,   0.0,   0.0336,    0.446,  6.8e-05
   12.82,  -68.48,   0.0,   0.0341,    0.451, 7.16e-05
   12.92,  -68.36,   0.0,   0.0346,    0.456, 7.55e-05
   13.03,  -68.25,   0.0,   0.0351,     0.46, 7.95e-05
   13.13,  -68.13,   0.0,   0.0356,    0.465, 8.38e-05
   13.24,  -68.01,   0.0,   0.0361,    0.469, 8.82e-05
   13.34,  -67.89,   0.0,   0.0366,    0.473, 9.29e-05
   13.45,  -67.77,   0.0,   0.0371,    0.477, 9.78e-05
   13.55,  -66.60,  10.0,   0.0377,    0.481, 0.000103
   13.66,  -65.52,  10.0,   0.0413,    0.484, 0.000137
   13.76,  -64.52,  10.0,   0.0462,    0.487, 0.000192
   13.87,  -63.57,  10.0,   0.0517,    0.488, 0.000269
   13.97,  -62.67,  10.0,   0.0575,    0.489, 0.000372
   14.08,  -61.79,  10.0,   0.0636,     0.49, 0.000505
   14.18,  -60.94,  10.0,   0.0701,     0.49, 0.000675
   14.29,  -60.09,  10.0,    0.077,    0.489, 0.000892
   14.39,  -59.24,  10.0,   0.0843,    0.487,  0.00117
   14.50,  -58.35,  10.0,   0.0922,    0.485,  0.00152
   14.60,  -58.45,   0.0,    0.101,    0.483,  0.00198
   14.71,  -58.47,   0.0,    0.105,     0.48,  0.00224
   14.81,  -58.45,   0.0,    0.108,    0.478,  0.00238
   14.92,  -58.43,   0.0,    0.109,    0.475,  0.00246
   15.02,  -58.40,   0.0,     0.11,    0.473,  0.00251
   15.13,  -58.38,   0.0,    0.111,    0.471,  0.00254
   15.23,  -58.37,   0.0,    0.111,    0.468,  0.00256
   15.34,  -58.38,   0.0,    0.111,    0.466,  0.00257
   15.44,  -58.39,   0.0,    0.111,    0.464,  0.00257
   15.55,  -58.43,   0.0,    0.111,    0.462,  0.00256
   15.65,  -58.48,   0.0,    0.111,     0.46,  0.00253
   15.75,  -58.55,   0.0,    0.111,    0.458,   0.0025
   15.86,  -58.64,   0.0,     0.11,    0.456,  0.00245
   15.96,  -58.76,   0.0,     0.11,    0.454,  0.00239
   16.07,  -58.89,   0.0,    0.108,    0.452,  0.00231
   16.17,  -59.05,   0.0,    0.107,    0.451,  0.00222
   16.28,  -59.24,   0.0,    0.106,    0.449,  0.00212
   16.38,  -59.45,   0.0,    0.104,    0.448,  0.00201
   16.49,  -59.68,   0.0,    0.102,    0.447,  0.00189
   16.59,  -59.93,   0.0,   0.0996,    0.446,  0.00177
   16.70,  -60.20,   0.0,   0.0972,    0.446,  0.00164
   16.80,  -60.48,   0.0,   0.0946,    0.445,  0.00151
   16.91,  -60.78,   0.0,   0.0918,    0.445,  0.00138
   17.01,  -61.08,   0.0,    0.089,    0.445,  0.00126
   17.12,  -61.39,   0.0,   0.0861,    0.445,  0.00114
   17.22,  -61.69,   0.0,   0.0833,    0.446,  0.00103
   17.33,  -61.99,   0.0,   0.0804,    0.446, 0.000929
   17.43,  -62.29,   0.0,   0.0777,    0.447, 0.000838
   17.54,  -62.57,   0.0,   0.0751,    0.448, 0.000758
   17.64,  -62.84,   0.0,   0.0726,    0.449, 0.000687
   17.75,  -63.09,   0.0,   0.0702,    0.451, 0.000625
   17.85,  -63.32,   0.0,   0.0681,    0.452, 0.000571
   17.96,  -63.54,   0.0,   0.0661,    0.454, 0.000525
   18.06,  -63.74,   0.0,   0.0643,    0.455, 0.000485
   18.17,  -63.92,   0.0,   0.0627,    0.457, 0.000451
   18.27,  -64.09,   0.0,   0.0613,    0.459, 0.000422
   18.38,  -64.24,   0.0,     0.06,    0.461, 0.000398
   18.48,  -64.37,   0.0,   0.0588,    0.463, 0.000377
   18.59,  -64.48,   0.0,   0.0578,    0.465,  0.00036
   18.69,  -64.58,   0.0,    0.057,    0.467, 0.000345
   18.80,  -64.67,   0.0,   0.0562,    0.469, 0.000333
   18.90,  -64.74,   0.0,   0.0556,    0.471, 0.000323
   19.01,  -64.80,   0.0,    0.055,    0.474, 0.000315
   19.11,  -64.85,   0.0,   0.0545,    0.476, 0.000309
   19.22,  -64.89,   0.0,   0.0542,    0.478, 0.000304
   19.32,  -64.92,   0.0,   0.0539,     0.48,   0.0003
   19.42,  -64.94,   0.0,   0.0536,    0.482, 0.000297
   19.53,  -64.95,   0.0,   0.0534,    0.484, 0.000295
   19.63,  -64.96,   0.0,   0.0533,    0.486, 0.000295
   19.74,  -64.96,   0.0,   0.0532,    0.488, 0.000295
   19.84,  -64.95,   0.0,   0.0532,     0.49, 0.000295
   19.95,  -64.94,   0.0,   0.0532,    0.492, 0.000297
   20.05,  -64.92,   0.0,   0.0533,    0.494, 0.000299
   20.16,  -64.89,   0.0,   0.0534,    0.496, 0.000302
   20.26,  -64.86,   0.0,   0.0535,    0.497, 0.000305
   20.37,  -64.83,   0.0,   0.0537,    0.499, 0.000309
   20.47,  -64.79,   0.0,   0.0539,    0.501, 0.000313
   20.58,  -64.75,   0.0,   0.0541,    0.502, 0.000318
   20.68,  -64.71,   0.0,   0.0543,    0.504, 0.000323
   20.79,  -64.67,   0.0,   0.0546,    0.506, 0.000328
   20.89,  -64.62,   0.0,   0.0548,    0.507, 0.000334
   21.00,  -64.57,   0.0,   0.0551,    0.508, 0.000341
   21.10,  -64.51,   0.0,   0.0554,     0.51, 0.000348
   21.21,  -64.46,   0.0,   0.0558,    0.511, 0.000355
   21.31,  -64.40,   0.0,   0.0561,    0.512, 0.000362
   21.42,  -64.35,   0.0,   0.0565,    0.513,  0.00037
   21.52,  -64.29,   0.0,   0.0569,    0.514, 0.000378
   21.63,  -64.23,   0.0,   0.0572,    0.516, 0.000387
   21.73,  -64.17,   0.0,   0.0576,    0.517, 0.000395
   21.84,  -64.11,   0.0,    0.058,    0.517, 0.000404
   21.94,  -64.04,   0.0,   0.0584,    0.518, 0.000414
   22.05,  -63.98,   0.0,   0.0589,    0.519, 0.000423
   22.15,  -63.92,   0.0,   0.0593,     0.52, 0.000433
   22.26,  -63.85,   0.0,   0.0597,    0.521, 0.000444
   22.36,  -63.79,   0.0,   0.0602,    0.521, 0.000454
   22.47,  -63.73,   0.0,   0.0606,    0.522, 0.000465
   22.57,  -63.66,   0.0,   0.0611,    0.522, 0.000476
   22.68,  -63.60,   0.0,   0.0615,    0.523, 0.000487
   22.78,  -63.53,   0.0,    0.062,    0.523, 0.000498
   22.89,  -63.47,   0.0,   0.0624,    0.524, 0.000509
   22.99,  -63.41,   0.0,   0.0629,    0.524, 0.000521
   23.09,  -63.34,   0.0,   0.0633,    0.524, 0.000533
   23.20,  -63.28,   0.0,   0.0638,    0.525, 0.000545
   23.30,  -63.22,   0.0,   0.0643,    0.525, 0.000557
   23.41,  -63.16,   0.0,   0.0647,    0.525,  0.00057
   23.51,  -63.10,   0.0,   0.0652,    0.525, 0.000582
   23.62,  -63.04,   0.0,   0.0657,    0.525, 0.000594
   23.72,  -62.98,   0.0,   0.0661,    0.525, 0.000607
   23.83,  -62.92,   0.0,   0.0666,    0.525,  0.00062
   23.93,  -62.86,   0.0,    0.067,    0.525, 0.000632
   24.04,  -62.81,   0.0,   0.0675,    0.525, 0.000645
   24.14,  -62.75,   0.0,   0.0679,    0.525, 0.000658
   24.25,  -62.70,   0.0,   0.0684,    0.525,  0.00067
   24.35,  -62.64,   0.0,   0.0688,    0.524, 0.000683
   24.46,  -62.59,   0.0,   0.0692,    0.524, 0.000695
   24.56,  -62.54,   0.0,   0.0696,    0.524, 0.000708
   24.67,  -62.49,   0.0,   0.0701,    0.524,  0.00072
   24.77,  -62.44,   0.0,   0.0705,    0.523, 0.000732
   24.88,  -62.40,   0.0,   0.0709,    0.523, 0.000744
   24.98,  -62.35,   0.0,   0.0712,    0.523, 0.000756
   25.09,  -62.31,   0.0,   0.0716,    0.522, 0.000767
   25.19,  -62.27,   0.0,    0.072,    0.522, 0.000778
   25.30,  -62.23,   0.0,   0.0723,    0.521, 0.000789
   25.40,  -62.19,   0.0,   0.0727,    0.521,   0.0008
   25.51,  -62.15,   0.0,    0.073,     0.52,  0.00081
   25.61,  -62.12,   0.0,   0.0733,     0.52, 0.000819
   25.72,  -62.09,   0.0,   0.0736,    0.519, 0.000829
   25.82,  -62.06,   0.0,   0.0739,    0.519, 0.000837
   25.93,  -62.03,   0.0,   0.0742,    0.518, 0.000846
   26.03,  -62.00,   0.0,   0.0744,    0.518, 0.000853
   26.14,  -61.98,   0.0,   0.0747,    0.517, 0.000861
   26.24,  -61.96,   0.0,   0.0749,    0.517, 0.000867
   26.35,  -61.94,   0.0,   0.0751,    0.516, 0.000873
   26.45,  -61.92,   0.0,   0.0752,    0.516, 0.000879
   26.56,  -61.91,   0.0,   0.0754,    0.515, 0.000883
   26.66,  -61.90,   0.0,   0.0755,    0.514, 0.000887
   26.76,  -61.89,   0.0,   0.0757,    0.514,  0.00089
   26.87,  -61.88,   0.0,   0.0758,    0.513, 0.000893
   26.97,  -61.88,   0.0,   0.0758,    0.513, 0.000895
   27.08,  -61.87,   0.0,   0.0759,    0.512, 0.000896
   27.18,  -61.88,   0.0,   0.0759,    0.512, 0.000896
   27.29,  -61.88,   0.0,    0.076,    0.511, 0.000896
   27.39,  -61.88,   0.0,   0.0759,    0.511, 0.000895
   27.50,  -61.89,   0.0,   0.0759,     0.51, 0.000893
   27.60,  -61.90,   0.0,   0.0759,     0.51,  0.00089
   27.71,  -61.92,   0.0,   0.0758,    0.509, 0.000887
   27.81,  -61.93,   0.0,   0.0757,    0.509, 0.000883
   27.92,  -61.95,   0.0,   0.0756,    0.508, 0.000878
   28.02,  -61.97,   0.0,   0.0755,    0.508, 0.000873
   28.13,  -61.99,   0.0,   0.0753,    0.507, 0.000867
   28.23,  -62.01,   0.0,   0.0752,    0.507, 0.000861
   28.34,  -62.04,   0.0,    0.075,    0.507, 0.000854
   28.44,  -62.07,   0.0,   0.0748,    0.506, 0.000847
   28.55,  -62.10,   0.0,   0.0746,    0.506, 0.000839
   28.65,  -62.13,   0.0,   0.0743,    0.506, 0.000831
   28.76,  -61.11,  10.0,   0.0741,    0.506, 0.000822
   28.86,  -60.13,  10.0,   0.0783,    0.505, 0.000969
   28.97,  -59.15,  10.0,   0.0848,    0.503,  0.00123
   29.07,  -58.15,  10.0,   0.0929,    0.501,   0.0016
   29.18,  -57.07,  10.0,    0.102,    0.497,  0.00212
   29.28,  -55.87,  10.0,    0.113,    0.493,  0.00285
   29.39,  -54.47,  10.0,    0.126,    0.488,  0.00389
   29.49,  -52.74,  10.0,    0.141,    0.482,  0.00544
   29.60,  -50.44,  10.0,    0.161,    0.474,  0.00795
   29.70,  -47.08,  10.0,    0.188,    0.464,   0.0124
   29.81,  -42.52,   0.0,    0.229,     0.45,   0.0216
   29.91,  -33.00,   0.0,     0.29,    0.429,   0.0418
   29.96,  -25.75,   0.0,     0.35,    0.412,   0.0704
   29.99,  -21.32,   0.0,    0.391,      0.4,   0.0954
   30.02,  -15.47,   0.0,    0.437,    0.388,     0.13
   30.03,  -12.38,   0.0,    0.464,    0.381,    0.153
   30.04,   -8.88,   0.0,    0.493,    0.375,     0.18
   30.05,   -4.99,   0.0,    0.523,    0.368,    0.211
   30.07,   -0.73,   0.0,    0.555,    0.361,    0.247
   30.08,    3.83,   0.0,    0.588,    0.354,    0.289
   30.09,    8.58,   0.0,    0.622,    0.348,    0.335
   30.11,   13.40,   0.0,    0.657,    0.341,    0.387
   30.12,   18.12,   0.0,    0.692,    0.334,    0.443
   30.13,   22.56,   0.0,    0.726,    0.328,    0.501
   30.15,   26.55,   0.0,    0.758,    0.321,     0.56
   30.16,   29.96,   0.0,    0.789,    0.315,    0.618
   30.19,   36.04,   0.0,    0.843,    0.303,    0.725
   30.21,   38.40,   0.0,    0.886,    0.291,     0.81
   30.24,   38.66,   0.0,    0.918,     0.28,    0.867
   30.26,   37.95,   0.0,    0.942,    0.269,    0.898
   30.29,   36.79,   0.0,    0.958,    0.258,    0.908
   30.32,   35.37,   0.0,    0.969,    0.248,    0.904
   30.34,   33.79,   0.0,    0.977,    0.239,    0.891
   30.37,   32.06,   0.0,    0.983,    0.229,    0.871
   30.40,   30.24,   0.0,    0.987,    0.221,    0.847
   30.42,   28.33,   0.0,    0.989,    0.212,    0.821
   30.45,   26.35,   0.0,    0.991,    0.204,    0.794
   30.47,   24.32,   0.0,    0.992,    0.196,    0.766
   30.50,   22.25,   0.0,    0.993,    0.188,    0.738
   30.53,   20.16,   0.0,    0.994,    0.181,     0.71
   30.55,   18.05,   0.0,    0.994,    0.174,    0.683
   30.58,   15.93,   0.0,    0.994,    0.167,    0.656
   30.61,   13.82,   0.0,    0.993,    0.161,     0.63
   30.63,   11.71,   0.0,    0.993,    0.155,    0.605
   30.66,    9.61,   0.0,    0.992,    0.149,    0.581
   30.68,    7.53,   0.0,    0.991,    0.143,    0.557
   30.71,    5.47,   0.0,     0.99,    0.138,    0.534
   30.74,    3.43,   0.0,    0.989,    0.132,    0.512
   30.76,    1.41,   0.0,    0.987,    0.127,    0.491
   30.79,   -0.58,   0.0,    0.986,    0.123,     0.47
   30.82,   -2.54,   0.0,    0.984,    0.118,     0.45
   30.84,   -4.47,   0.0,    0.981,    0.114,     0.43
   30.87,   -6.38,   0.0,    0.979,     0.11,    0.411
   30.89,   -8.26,   0.0,    0.976,    0.106,    0.393
   30.92,  -10.11,   0.0,    0.973,    0.102,    0.376
   30.95,  -11.93,   0.0,    0.969,   0.0985,    0.358
   30.97,  -13.72,   0.0,    0.965,   0.0952,    0.342
   31.00,  -15.49,   0.0,     0.96,   0.0921,    0.326
   31.02,  -17.23,   0.0,    0.955,   0.0891,     0.31
   31.05,  -18.95,   0.0,    0.949,   0.0864,    0.295
   31.08,  -20.65,   0.0,    0.942,   0.0838,     0.28
   31.10,  -22.32,   0.0,    0.935,   0.0815,    0.266
   31.13,  -23.98,   0.0,    0.927,   0.0793,    0.252
   31.16,  -25.61,   0.0,    0.918,   0.0773,    0.239
   31.18,  -27.24,   0.0,    0.908,   0.0755,    0.226
   31.21,  -28.86,   0.0,    0.897,   0.0738,    0.213
   31.26,  -33.57,   0.0,    0.874,   0.0709,    0.189
   31.31,  -37.03,   0.0,     0.84,    0.069,    0.164
   31.37,  -40.57,   0.0,      0.8,   0.0679,    0.139
   31.42,  -44.29,   0.0,    0.753,   0.0674,    0.115
   31.47,  -48.24,   0.0,    0.695,   0.0677,   0.0911
   31.52,  -52.44,   0.0,    0.627,   0.0688,    0.068
   31.58,  -56.79,   0.0,    0.548,   0.0708,   0.0465
   31.63,  -61.01,   0.0,    0.457,   0.0736,   0.0281
   31.68,  -64.71,   0.0,    0.361,   0.0774,   0.0145
   31.78,  -71.49,   0.0,    0.189,   0.0867,  0.00236
   31.89,  -71.60,   0.0,   0.0679,      0.1, 0.000126
   31.99,  -71.61,   0.0,   0.0353,    0.114,    2e-05
   32.10,  -71.58,   0.0,   0.0267,    0.127, 9.65e-06
   32.20,  -71.54,   0.0,   0.0245,    0.139, 8.23e-06
   32.31,  -71.50,   0.0,    0.024,    0.152, 8.45e-06
   32.41,  -71.45,   0.0,    0.024,    0.164, 9.09e-06
   32.52,  -71.41,   0.0,   0.0241,    0.176, 9.86e-06
   32.62,  -71.36,   0.0,   0.0242,    0.188, 1.07e-05
   32.73,  -71.31,   0.0,   0.0244,    0.199, 1.15e-05
   32.83,  -71.25,   0.0,   0.0245,    0.211, 1.24e-05
   32.94,  -71.20,   0.0,   0.0247,    0.222, 1.33e-05
   33.04,  -71.14,   0.0,   0.0248,    0.232, 1.43e-05
   33.15,  -71.08,   0.0,    0.025,    0.243, 1.52e-05
   33.25,  -71.01,   0.0,   0.0252,    0.253, 1.62e-05
   33.36,  -70.95,   0.0,   0.0254,    0.263, 1.73e-05
   33.46,  -70.88,   0.0,   0.0256,    0.273, 1.83e-05
   33.57,  -70.81,   0.0,   0.0258,    0.282, 1.95e-05
   33.67,  -70.74,   0.0,    0.026,    0.292, 2.06e-05
   33.78,  -70.66,   0.0,   0.0263,    0.301, 2.19e-05
   33.88,  -70.58,   0.0,   0.0265,     0.31, 2.31e-05
   33.99,  -70.50,   0.0,   0.0268,    0.318, 2.45e-05
   34.09,  -70.42,   0.0,    0.027,    0.327, 2.59e-05
   34.20,  -70.33,   0.0,   0.0273,    0.335, 2.73e-05
   34.30,  -70.25,   0.0,   0.0276,    0.343, 2.89e-05
   34.41,  -70.16,   0.0,   0.0279,    0.351, 3.05e-05
   34.51,  -70.07,   0.0,   0.0282,    0.359, 3.22e-05
   34.62,  -69.97,   0.0,   0.0285,    0.366,  3.4e-05
   34.72,  -69.88,   0.0,   0.0289,    0.373, 3.59e-05
   34.83,  -69.78,   0.0,   0.0292,     0.38, 3.79e-05
   34.93,  -69.68,   0.0,   0.0296,    0.387,    4e-05
   35.04,  -69.58,   0.0,   0.0299,    0.394, 4.22e-05
   35.14,  -69.47,   0.0,   0.0303,      0.4, 4.45e-05
   35.25,  -69.37,   0.0,   0.0307,    0.407, 4.69e-05
